Saturday May 7, 2011
====================

    18:08:45 mike:	f
    18:15:23 mike:	0.964849640921788
    18:15:26 mike:	0.419144946224154
    18:15:34 mike:	0.729190810890035
    18:15:37 mike:	0.412093906969861
    18:15:54 mike:	0.130013036615313
    18:16:29 mike:	0.911923548746021
    18:18:16 mike:	0.373074713469581
    18:18:18 mike:	0.924429730120213
    18:19:20 mike:	0.944569105356099
    18:19:30 mike:	0.180949561371566
    18:19:31 mike:	0.214445880222232
    18:19:38 mike:	0.221995202432485
    18:19:40 mike:	0.00534988248637447
    18:21:48 mike:	0.560560463535698
    18:22:54 mike:	0.590795992947282
